"post_id","upload_date","upload_time","title","description","hashtags","keywords","category","sub_category_name","series_name","episode_number","landscape_video_path","landscape_thumbnail_path","portrait_video_path","portrait_thumbnail_path","ai_flag","kids_flag","status"
"d57d2cae-58c4-4733-8a52-184ecfc4a194","2026-06-14","20:00","Neon's Epic Music Flow | Valorant Montage","Get ready for an adrenaline rush! Neon delivers incredible gameplay set to powerful music. Hit like if this montage slays you! #valorantmontage","#runfzrun #runfz #fzrun #fz #valorant #neon #gaming #shorts #montage #music #epic #highlights #fyp","valorant neon gameplay music montage highlights gaming clips","Gaming","Valorant","Neon - Valorant Music Montages","1","D:/Content/RunFzRun/2026-07\videos\EP001\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP001\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP001\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP001\portrait.png","FALSE","FALSE","PLANNED"
"688f51b5-e102-4299-b2ad-263908219b83","2026-06-15","20:00","Neon Vibes & Intense Action | Best Valorant Music","Experience the pure energy of Neon in this high-octane musical journey. Which part was your favorite? Share this with a friend! #valorantmusic","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #epic #run #fz #highlights","valorant neon montage music gameplay highlights","Gaming","Valorant","Neon - Valorant Music Montages","2","D:/Content/RunFzRun/2026-07\videos\EP002\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP002\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP002\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP002\portrait.png","FALSE","FALSE","PLANNED"
"6a4315ee-bc0a-4542-8c8e-5df6aad317de","2026-06-16","20:00","Neon Gameplay Flow | Trending Music Montage","Watch Neon dominate the map with an incredible soundtrack. Perfect for your Valorant break! Don't forget to subscribe! #neon","#runfzrun #runfz #fzrun #valorant #neon #gaming #montage #music #shorts #trending #fyp #gameplay #run","neon gameplay music montage valorant highlights","Gaming","Valorant","Neon - Valorant Music Montages","3","D:/Content/RunFzRun/2026-07\videos\EP003\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP003\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP003\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP003\portrait.png","FALSE","FALSE","PLANNED"
"738c81a4-157f-4221-9b78-595d603a5c9a","2026-06-17","20:00","Ultimate Neon Plays | Insane Music Montage","Unleash the power of Neon with this epic musical montage! Prepare for some non-stop action and rhythm. 🔥","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #epic #run #fz #trending","neon gameplay music montage valorant highlights gaming","Gaming","Valorant","Neon - Valorant Music Montages","4","D:/Content/RunFzRun/2026-07\videos\EP004\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP004\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP004\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP004\portrait.png","FALSE","FALSE","PLANNED"
"ef204f18-e8ff-4c49-b492-5f74ed0abe53","2026-06-18","20:00","Neon Rhythm Gameplay | Viral Song Montage","The rhythm is unmatched! Neon's skills perfectly sync with the beat. Tap the screen if you felt the music! 🎶","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #viral #gameplay #run #fz","neon gameplay music montage valorant highlights gaming trends","Gaming","Valorant","Neon - Valorant Music Montages","5","D:/Content/RunFzRun/2026-07\videos\EP005\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP005\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP005\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP005\portrait.png","FALSE","FALSE","PLANNED"
"674f75d9-90cb-40bf-96b9-bf6728880e32","2026-06-19","20:00","Neon's Cinematic Moment | Epic Music Flow","A cinematic view of Neon's skill and style set to amazing music. Enjoy the visuals and the gameplay! ✨","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #epic #gameplay #run #fzrun","neon gameplay music montage valorant highlights cinematic","Gaming","Valorant","Neon - Valorant Music Montages","6","D:/Content/RunFzRun/2026-07\videos\EP006\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP006\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP006\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP006\portrait.png","FALSE","FALSE","PLANNED"
"0e955b83-04ad-49bf-b174-306e43ee076e","2026-06-20","20:00","Fast-Paced Neon Action | High Energy Montage","High energy action and fast reflexes! Watch Neon's explosive plays set to a high-tempo track. Get ready for the thrill! ⚡","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #trending #action #gameplay #run","neon gameplay music montage valorant highlights gaming action","Gaming","Valorant","Neon - Valorant Music Montages","7","D:/Content/RunFzRun/2026-07\videos\EP007\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP007\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP007\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP007\portrait.png","FALSE","FALSE","PLANNED"
"c7658daa-0a8b-4804-90a4-691dac40bbe5","2026-06-21","20:00","Neon's Best Moments | Music Driven Gameplay","Relive the absolute best moments of Neon's performance set to killer music. This is pure Valorant energy! 💪","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #epic #gameplay #run #fz","neon gameplay music montage valorant highlights gaming clips","Gaming","Valorant","Neon - Valorant Music Montages","8","D:/Content/RunFzRun/2026-07\videos\EP008\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP008\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP008\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP008\portrait.png","FALSE","FALSE","PLANNED"
"8ff8d497-96ab-4119-b70c-1d1787d16873","2026-06-22","20:00","Neon Music Flow | Ultimate Valorant Montage","Dive into the ultimate musical flow of Neon's Valorant skills. An absolute must-watch for all gamers! 🎧","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #trending #epic #gameplay #run","neon gameplay music montage valorant highlights gaming trends","Gaming","Valorant","Neon - Valorant Music Montages","9","D:/Content/RunFzRun/2026-07\videos\EP009\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP009\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP009\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP009\portrait.png","FALSE","FALSE","PLANNED"
"2314c5a1-dd89-4f66-8f8a-5c723247509e","2026-06-23","20:00","Neon Montage | Trending Valorant Music Mix","An electrifying mix of Neon's best plays and trending Valorant music. The ultimate energy boost! 🚀","#runfzrun #runfz #fzrun #neon #valorant #gaming #montage #music #shorts #viral #trending #gameplay #run","neon gameplay music montage valorant highlights gaming music","Gaming","Valorant","Neon - Valorant Music Montages","10","D:/Content/RunFzRun/2026-07\videos\EP010\landscape.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP010\landscape.png","D:/Content/RunFzRun/2026-07\videos\EP010\portrait.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP010\portrait.png","FALSE","FALSE","PLANNED"
