"post_id","upload_date","upload_time","title","description","hashtags","keywords","category","sub_category_name","series_name","episode_number","video_local_path","thumbnail_local_path","ai_flag","kids_flag","status"
"6f1ae33c-6e52-40e7-963a-f2abe44f82c9","2026-07-01","19:30","Neon's Epic Drop | Valorant Music Montage","Experience Neon's best plays set to an unforgettable soundtrack. Hit like if this music gives you energy! 🔥 #Valorant","#runfzrun #runfz #fzrun #run #valorant #neon #montage #gaming #music #shorts","valorant neon gameplay montage music highlights gaming shorts","Gaming","Valorant","Neon - Valorant Music Montages","1","D:/Content/RunFzRun/2026-07\videos\EP001\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP001\thumbnail.png","FALSE","FALSE","PLANNED"
"fdf5de16-19d4-47d9-8962-69036b489207","2026-07-02","19:30","Rave Session Gameplay | Neon Vibes 🎶","Dive into the rhythm of the game with these high-energy clips. What song should we use next? Let us know! 👇 #runfz","#runfzrun #runfz #fzrun #neon #valorant #music #montage #gaming #shorts","valorant neon music gameplay highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","2","D:/Content/RunFzRun/2026-07\videos\EP002\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP002\thumbnail.png","FALSE","FALSE","PLANNED"
"9ce6ef6e-071d-4b7d-8f5e-8d7b9aaf7f7e","2026-07-03","19:30","Insane Clutch Moments | Neon Montage","Watch Neon pull off impossible plays fueled by epic music. Don't miss the action! Subscribe for more! 🚀 #run","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #clutch #shorts","valorant clutch gameplay neon highlights action montages","Gaming","Valorant","Neon - Valorant Music Montages","3","D:/Content/RunFzRun/2026-07\videos\EP003\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP003\thumbnail.png","FALSE","FALSE","PLANNED"
"cf532788-64af-4630-8b1f-3820b8ccf0b1","2026-07-04","19:30","Neon vs Enemy | High Octane Gameplay","Pure adrenaline! Neon delivers explosive gameplay synced to the beat. Tap if you love this vibe! ⚡ #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #gaming #montage #epic #shorts","valorant neon gameplay high energy action montages gaming highlights","Gaming","Valorant","Neon - Valorant Music Montages","4","D:/Content/RunFzRun/2026-07\videos\EP004\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP004\thumbnail.png","FALSE","FALSE","PLANNED"
"f3e68a7b-9469-4c8f-aa96-f0e5ebc61e4e","2026-07-05","19:30","Neon's Flow State | Best Music Gameplay","Watch Neon in her flow state! The music makes the gameplay even better. Share this with your squad! 🎧 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #flowstate #gaming #shorts","valorant neon flow state music gameplay entertainment","Gaming","Valorant","Neon - Valorant Music Montages","5","D:/Content/RunFzRun/2026-07\videos\EP005\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP005\thumbnail.png","FALSE","FALSE","PLANNED"
"664febb2-b77d-4400-aad8-50beaf72a622","2026-07-06","19:30","Neon Montage: Rhythm of Battle 🔥","A mesmerizing montage showcasing Neon's skill and the perfect soundtrack. Enjoy the flow! ✨ #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #music #gaming #shorts","valorant neon montage music gameplay rhythm highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","6","D:/Content/RunFzRun/2026-07\videos\EP006\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP006\thumbnail.png","FALSE","FALSE","PLANNED"
"b4e0f2ee-37bb-438f-89e1-589a7eeaca09","2026-07-07","19:30","Neon's Insane Plays | Epic Music Combo","Witness some mind-blowing clips set to killer music. Prepare for the chaos! 💥 #runfz","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #epic #shorts","valorant neon gameplay insane plays music montage highlights","Gaming","Valorant","Neon - Valorant Music Montages","7","D:/Content/RunFzRun/2026-07\videos\EP007\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP007\thumbnail.png","FALSE","FALSE","PLANNED"
"9ed64a89-7c28-490a-b9aa-945f34c4fa40","2026-07-08","19:30","Valorant Neon Vibes | Full Music Montage","The ultimate Neon musical experience! Get ready for some intense action and great beats. 🔊 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #music #montage #gaming #shorts","valorant neon music montage gameplay highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","8","D:/Content/RunFzRun/2026-07\videos\EP008\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP008\thumbnail.png","FALSE","FALSE","PLANNED"
"9eead310-bd15-4396-b9e5-a691b609c79e","2026-07-09","19:30","Neon Gameplay Flow | Best Music Picks","Relive the best moments of Neon's gameplay with amazing music. What's your favorite track? 🤔 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #montage #shorts","valorant neon gameplay music montage flow highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","9","D:/Content/RunFzRun/2026-07\videos\EP009\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP009\thumbnail.png","FALSE","FALSE","PLANNED"
"a4480896-b712-45a3-ae2a-a05e2c795a25","2026-07-10","19:30","Neon's Aggression | Cinematic Gameplay","Intense action and cinematic visuals synced to the music. Feel the rush! 🎬 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #cinematic #shorts","valorant neon gameplay cinematic action montages gaming highlights","Gaming","Valorant","Neon - Valorant Music Montages","10","D:/Content/RunFzRun/2026-07\videos\EP010\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP010\thumbnail.png","FALSE","FALSE","PLANNED"
"d17148b5-e29b-46b8-96b1-9cd784949538","2026-07-11","19:30","Neon & Music Synergy | Top Clips","Where skill meets sound! These Neon moments are pure fire. 🔥 Check out the montage! #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #montage #shorts","valorant neon music gameplay highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","11","D:/Content/RunFzRun/2026-07\videos\EP011\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP011\thumbnail.png","FALSE","FALSE","PLANNED"
"1695e856-0e22-4d21-a29c-1f950fd1a33c","2026-07-12","19:30","Neon's Skill Showcase | Music Driven","See the precision and skill of Neon through an awesome musical lens. Incredible talent! 🌟 #runfz","#runfzrun #runfz #fzrun #valorant #neon #gaming #skill #montage #shorts","valorant neon gameplay skill showcase music montage highlights","Gaming","Valorant","Neon - Valorant Music Montages","12","D:/Content/RunFzRun/2026-07\videos\EP012\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP012\thumbnail.png","FALSE","FALSE","PLANNED"
"db303519-fcab-4c4a-a51e-5646c428d05d","2026-07-13","19:30","Neon Gameplay Flow | Viral Music Combo","Viral music meets epic Valorant action. This montage is a must-watch! 🎶 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #viral #shorts","valorant neon gameplay viral music montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","13","D:/Content/RunFzRun/2026-07\videos\EP013\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP013\thumbnail.png","FALSE","FALSE","PLANNED"
"f65e1b78-36da-484f-b9c4-08d0b2914781","2026-07-14","19:30","The Neon Soundtrack | Intense Gameplay","Let the music drive the action. An intense musical journey through Valorant. ⚡ #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #action #shorts","valorant neon music gameplay intensity montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","14","D:/Content/RunFzRun/2026-07\videos\EP014\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP014\thumbnail.png","FALSE","FALSE","PLANNED"
"daa57943-03af-4c59-aac8-d9b600a09990","2026-07-15","19:30","Neon Montage: Pure Energy Burst","Unleash the energy! Neon's most explosive moments set to a high-energy track. Get ready! 💥 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #energy #shorts","valorant neon gameplay energy burst music montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","15","D:/Content/RunFzRun/2026-07\videos\EP015\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP015\thumbnail.png","FALSE","FALSE","PLANNED"
"3e745e10-7b77-437f-bd84-54778cc84127","2026-07-16","19:30","Neon Gameplay Flow | Cinematic Edit","A cinematic flow of Neon's best Valorant moments, perfectly timed with the music. 🎬 #runfz","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #cinematic #shorts","valorant neon gameplay cinematic flow montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","16","D:/Content/RunFzRun/2026-07\videos\EP016\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP016\thumbnail.png","FALSE","FALSE","PLANNED"
"6caa9756-4ee8-4092-95dc-4c4cf9aa4e24","2026-07-17","19:30","Neon's Best Moments | Music Driven Edit","The absolute best clips of Neon, soundtracked perfectly. This is pure gaming bliss! 🎧 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #bestmoments #shorts","valorant neon gameplay best moments music montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","17","D:/Content/RunFzRun/2026-07\videos\EP017\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP017\thumbnail.png","FALSE","FALSE","PLANNED"
"82ec6624-9e27-4974-8cde-10dcb68c3741","2026-07-18","19:30","Neon Montage: Epic Soundtrack Hits","An epic collection of Neon's gameplay set to legendary music. Prepare to be amazed! 🎵 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #epic #shorts","valorant neon montage soundtrack gameplay highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","18","D:/Content/RunFzRun/2026-07\videos\EP018\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP018\thumbnail.png","FALSE","FALSE","PLANNED"
"3e1ab21d-99c3-467e-ae10-5cbeb255ea9d","2026-07-19","19:30","Run Fz Run: Neon Energy Blast","The energy of Run Fz Run combined with Neon's intensity. Feel the power! 💪 #runfzrun","#runfzrun #runfz #fzrun #run #valorant #neon #gaming #energy #shorts","runfzrun neon gameplay energy blast montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","19","D:/Content/RunFzRun/2026-07\videos\EP019\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP019\thumbnail.png","FALSE","FALSE","PLANNED"
"fadec464-9ae2-477d-8ec0-843195f623d5","2026-07-20","19:30","Neon Gameplay Flow | Trending Music Edit","Trending music making Neon's gameplay unstoppable. Watch the flow! 🔥 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #trending #shorts","valorant neon gameplay trending music montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","20","D:/Content/RunFzRun/2026-07\videos\EP020\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP020\thumbnail.png","FALSE","FALSE","PLANNED"
"770f9e1a-3497-4ba9-bf90-bcc0677df1a4","2026-07-21","19:30","Neon Montage: Intense Rhythm Play","An intense rhythm montage featuring Neon's peak performance. Get ready for the beat! 🥁 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #music #gaming #shorts","valorant neon gameplay rhythm montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","21","D:/Content/RunFzRun/2026-07\videos\EP021\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP021\thumbnail.png","FALSE","FALSE","PLANNED"
"b3ddfbb6-25a3-4c40-bbdb-046096aafe40","2026-07-22","19:30","Neon's Skill Montage | Music Sync","Watch Neon's mastery synchronized with killer music. Incredible skill on display! 🌟 #runfz","#runfzrun #runfz #fzrun #valorant #neon #gaming #skill #montage #shorts","valorant neon gameplay skill montage music highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","22","D:/Content/RunFzRun/2026-07\videos\EP022\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP022\thumbnail.png","FALSE","FALSE","PLANNED"
"05940401-6081-4e79-8997-47b42f8e7caa","2026-07-23","19:30","Neon Gameplay Flow | Best of the Best","A collection of Neon's absolute best gameplay, perfectly edited with music. Enjoy the flow! 🏆 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #bestof #shorts","valorant neon gameplay best moments montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","23","D:/Content/RunFzRun/2026-07\videos\EP023\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP023\thumbnail.png","FALSE","FALSE","PLANNED"
"947c667d-2eb8-49ae-8a32-257bd842ca0c","2026-07-24","19:30","Neon's Epic Music Journey | Valorant","A musical journey through Neon's incredible Valorant gameplay. Immerse yourself in the sound! 🎶 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #journey #shorts","valorant neon music gameplay journey montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","24","D:/Content/RunFzRun/2026-07\videos\EP024\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP024\thumbnail.png","FALSE","FALSE","PLANNED"
"cb551002-9c25-4205-b06f-7feaafe7fcfe","2026-07-25","19:30","Neon Montage: High Octane Action","Explosive action and explosive music in one package! Neon delivers the heat. 🔥 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #action #shorts","valorant neon gameplay action montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","25","D:/Content/RunFzRun/2026-07\videos\EP025\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP025\thumbnail.png","FALSE","FALSE","PLANNED"
"98c88f73-90f1-4edc-b481-3f5849f092ee","2026-07-26","19:30","Neon's Rhythm Gameplay | Viral Sound","Get the viral sound and epic gameplay of Neon. Watch the rhythm unfold! 💃 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #viral #shorts","valorant neon gameplay rhythm montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","26","D:/Content/RunFzRun/2026-07\videos\EP026\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP026\thumbnail.png","FALSE","FALSE","PLANNED"
"02bebac0-a32f-456b-aefc-6497df682d77","2026-07-27","19:30","Neon Flow State | Ultimate Music Edit","Experience the ultimate flow of Neon set to a mesmerizing soundtrack. Pure gaming bliss! ✨ #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #flowstate #shorts","valorant neon gameplay flow state music montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","27","D:/Content/RunFzRun/2026-07\videos\EP027\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP027\thumbnail.png","FALSE","FALSE","PLANNED"
"a35862b3-75a0-4ccf-adf9-99ca9ffdc99c","2026-07-28","19:30","Valorant Neon Montage | Music Fever","Neon's best plays set to the most feverish music. Prepare for a visual feast! 🤩 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #montage #shorts","valorant neon gameplay music montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","28","D:/Content/RunFzRun/2026-07\videos\EP028\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP028\thumbnail.png","FALSE","FALSE","PLANNED"
"f2cfd143-3e46-44c5-951a-844c2e5d596d","2026-07-29","19:30","Neon's Cinematic Gameplay Flow","Cinematic visuals and epic music create an unforgettable Neon experience. 🎥 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #montage #gaming #cinematic #shorts","valorant neon gameplay cinematic flow montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","29","D:/Content/RunFzRun/2026-07\videos\EP029\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP029\thumbnail.png","FALSE","FALSE","PLANNED"
"7a625a4a-b4e9-45a1-b45e-b96d9b25658e","2026-07-30","19:30","Neon Gameplay: Music & Skill Combo","Skill, music, and pure adrenaline in one short clip. Neon is on fire! 🔥 #runfz","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #skill #shorts","valorant neon gameplay skill music combo montage highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","30","D:/Content/RunFzRun/2026-07\videos\EP030\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP030\thumbnail.png","FALSE","FALSE","PLANNED"
"0eb95184-5666-4856-a0ba-bdabea3228f7","2026-07-31","19:30","Neon's Ultimate Music Montage 👑","The grand finale! Neon's most epic music-driven gameplay montage. Enjoy the climax! 🎉 #runfzrun","#runfzrun #runfz #fzrun #valorant #neon #music #gaming #epic #shorts","valorant neon montage ultimate music gameplay highlights entertainment","Gaming","Valorant","Neon - Valorant Music Montages","31","D:/Content/RunFzRun/2026-07\videos\EP031\video.mp4","D:/Content/RunFzRun/2026-07\thumbnails\EP031\thumbnail.png","FALSE","FALSE","PLANNED"
